id,title,url,price
1575562,Interactive Python Dashboards with Plotly and Dash,/course/interactive-python-dashboards-with-plotly-and-dash/,$124.99
3047216,Python for beginners - Learn all the basics of python,/course/python-for-beginners-learn-all-the-basics-of-python/,$54.99
264454,Python Programming Tutorial: Learn Online | MongoDB | Django,/course/learn-programming-quick-with-python-by-examples/,$19.99
2948290,Python Complete Course: with 30+ Hands-on Tasks and Solution,/course/learning-python-for-beginners-1-data-types-input-format/,$64.99
6148645,"RAG, AI Agents and Generative AI with Python and OpenAI 2025",/course/generative-ai-rag/,$49.99
3741094,"Python: Coding Guidelines, Tools, Tests and Packages [2024]",/course/python-coding-guidelines-tooling-testing-and-packaging/,$74.99
1907136,Using MySQL Databases With Python,/course/using-mysql-databases-with-python/,$64.99
5657272,50 Days of DSA Python Data Structures Algorithms LEETCODE,/course/python-data-structures-algorithms/,$74.99
1144936,Programming with Python : HandsOn Introduction for Beginners,/course/python-programming-beginners/,$69.99
5747348,Python Crash Course: Dive into Coding with Hands-On Projects,/course/python-crash-course-cgev/,$49.99
2722434,Python Programming - From Basics to Advanced level,/course/python-programming-beginner-to-advanced/,$64.99
2326560,Data Structures and Algorithms: In-Depth using Python,/course/learning-data-structures-algorithms-in-python-from-scratch/,$94.99
4471124,Python for Data Analysis & Visualization,/course/python-for-data-analysis-visualization/,$89.99
2745938,Python Bootcamp : Complete Python Programming Masterclass,/course/python-bootcamp-complete-python-programing-masterclass/,$79.99
3434032,Python Complete Course For Python Beginners,/course/python-complete-course-for-beginners/,$54.99
5871790,Master Regression & Prediction with Pandas and Python [2024],/course/master-regression-prediction-with-pandas-and-python-2024/,$79.99
5281528,LangChain- Develop LLM powered applications with LangChain,/course/langchain/,$89.99
5201866,Python and Machine Learning for Complete Beginners,/course/python-machine-learning-beginners/,$84.99
5853642,"Generative AI: OpenAI API, ChatGPT, and GPT-4 in Python",/course/genai-openai-chatgpt/,$79.99
2276027,Manage Finance Data with Python & Pandas: Unique Masterclass,/course/finance-data-with-python-and-pandas/,$109.99
3395102,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",/course/algorithmic-trading-with-python-and-machine-learning/,$109.99
4230404,Python for Finance and Algorithmic Trading with QuantConnect,/course/python-for-finance-and-algorithmic-trading-with-quantconnect/,$109.99
980086,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),/course/deep-learning-prerequisites-the-numpy-stack-in-python/,$94.99
2485240,Python : Master Programming and Development with 15 Projects,/course/python-complete-bootcamp-2019-learn-by-applying-knowledge/,$69.99
6196847,Python for SEO & Content Marketing,/course/python-for-seo-and-content-automation/,$44.99
6257009,Python Programming Mastery: From Beginner to Pro,/course/python-programming-mastery-from-beginner-to-pro/,$54.99
4587812,Python Programming Complete Beginners Course Bootcamp 2024,/course/learn-python-from-scratch-its-usage-by-nasa-in-mars-rovers/,$49.99
6153541,Master Cluster Analysis with Python and Pandas [2024],/course/master-cluster-analysis-with-python-and-pandas/,$49.99
1319746,Automated Software Testing with Python,/course/automated-software-testing-with-python/,$99.99
2552715,Master Math by Coding in Python,/course/math-with-python/,$139.99
1350350,Quantitative Finance & Algorithmic Trading in Python,/course/quantitative-finance-algorithmic-trading-in-python/,$109.99
4402003,Python Certification | Python PCEP Certification in 5 days,/course/get-python-pcep-certification-in-5-days-with-practice-test/,$84.99
4386182,Python Guided Project: Building Tic-Tac-Toe from Scratch,/course/python-guided-project-building-tic-tac-toe-from-scratch/,$49.99
6093253,AI-Agents: Automation & Business with LangChain & LLM Apps,/course/ai-agents-automation-business-with-langchain-llm-apps/,$49.99
2557116,Python for the Jupyter Notebook,/course/python-for-the-jupyter-notebook/,$49.99
6053693,Python Programming for Beginners: Learn Python from Scratch,/course/python-programming-for-beginners-learn-python-from-scratch/,$49.99
5905952,Python for Data Science: Python Programming & Data Analysis,/course/python-for-data-science-starttech/,$64.99
2467958,Learn Python Requests,/course/learn-python-requests/,$49.99
1677376,API and Web Service Introduction,/course/api-and-web-service-introduction/,$109.99
3184584,PySpark - Apache Spark Programming in Python for beginners,/course/apache-spark-programming-in-python-for-beginners/,$89.99
2058283,NLP - Natural Language Processing with Python,/course/nlp-natural-language-processing-with-python/,$109.99
1088256,DP-100: A-Z Machine Learning using Azure Machine Learning,/course/machine-learning-using-azureml/,$129.99
5855036,Python Code Optimization: Pro Techniques to Boost Code Speed,/course/python-code-optimization-pro-techniques-to-boost-code-speed/,$54.99
4324528,"Data Manipulation in Python: Master Python, Numpy & Pandas",/course/master-data-science-in-python/,$59.99
4426792,Computational Physics: Scientific Programming with Python,/course/computational-physics/,$84.99
4828556,"Learn Selenium with Python, PyTest & Frameworks",/course/learn-selenium-with-python-d/,$79.99
5432816,DSA In Python + Top 100 Leetcode Problems for MAANG,/course/mastering-leetcode-in-python-top-100-most-asked-problems/,$69.99
2167996,Design Patterns in Python,/course/design-patterns-python/,$79.99
5559012,Master AWS with Python and Boto3,/course/master-aws-with-python-and-boto3/,$19.99
5966548,Python Development and Python Programming Fundamentals,/course/python-development-and-python-programming-fundamentals/,$24.99
4295870,Python Basics Course,/course/python-entry-level-programmer-certification-pcep/,$59.99
2860646,Data Manipulation in Python: A Pandas Crash Course,/course/data-manipulation-in-python/,$89.99
1644756,Algorithmic Trading & Quantitative Analysis Using Python,/course/algorithmic-trading-quantitative-analysis-using-python/,$109.99
2034070,Python on the Backend,/course/python-on-the-back-end-for-beginners-http-server/,$69.99
1899124,Recommender Systems and Deep Learning in Python,/course/recommender-systems/,$109.99
3957970,Optimization with Python: Solve Operations Research Problems,/course/optimization-with-python-linear-nonlinear-and-cplex-gurobi/,$84.99
3279504,Financial Engineering and Artificial Intelligence in Python,/course/ai-finance/,$74.99
4349894,"Databases with Python: MySQL, SQLite & MongoDB with Python",/course/databases-with-python-mysql-sqlite-mongodb-with-python/,$54.99
5874984,"Data Analyst in Python, Tableau, SQL & ChatGPT with Projects",/course/python-mysql-chatgpt-tableau-with-data-analysis-projects/,$84.99
887814,Deep Learning: Recurrent Neural Networks in Python,/course/deep-learning-recurrent-neural-networks-in-python/,$119.99
1495788,Learn to Code in Python 3: Programming beginner to advanced,/course/learn-python-programming-a-step-by-step-course-to-beginners/,$69.99
3365628,Learn API Automation Testing with Python & BDD Framework,/course/python-sdet-rest-api-automation/,$119.99
3428726,Python & Machine Learning for Financial Analysis,/course/ml-and-python-in-finance-real-cases-and-practical-solutions/,$84.99
1212032,Python for Financial Analysis and Algorithmic Trading,/course/python-for-finance-and-trading-algorithms/,$109.99
5489314,Generative AI using OpenAI API for Beginners,/course/open-ai-api-for-beginners-using-python/,$19.99
